id,run_id,timeStep,corridorRecommended
0,0,26,11
0,0,51,31
0,0,76,51
0,0,101,11
0,0,126,31
0,0,151,51
0,0,176,11
0,0,201,31
0,0,226,51
0,0,251,11
0,0,276,31
0,0,301,51
0,0,326,11
0,0,351,31
0,0,376,51
0,0,401,11
0,0,426,31
0,0,451,51
0,0,476,11
0,0,501,31
0,0,526,51
0,0,551,11
0,0,576,31
0,0,601,51
0,0,626,11
0,0,651,31
0,0,676,51
0,0,701,11
0,0,726,31
0,0,751,51
0,0,776,11
0,0,801,31
0,0,826,51
0,0,851,11
0,0,876,31
0,0,901,51
0,0,926,11
0,0,951,31
0,0,976,51
0,0,1001,11
0,0,1026,31
0,0,1051,51
0,0,1076,11
0,0,1101,31
0,0,1126,51
0,0,1151,11
0,0,1176,31
0,0,1201,51
0,0,1226,11
0,0,1251,31
0,0,1276,51
0,0,1301,11
1,0,26,11
1,0,51,31
1,0,76,51
1,0,101,11
1,0,126,31
1,0,151,51
1,0,176,11
1,0,201,31
1,0,226,51
1,0,251,11
1,0,276,31
1,0,301,51
1,0,326,11
1,0,351,31
1,0,376,51
1,0,401,11
1,0,426,31
1,0,451,51
1,0,476,11
1,0,501,31
1,0,526,51
1,0,551,11
1,0,576,31
1,0,601,51
1,0,626,11
1,0,651,31
1,0,676,51
1,0,701,11
1,0,726,31
1,0,751,51
1,0,776,11
1,0,801,31
1,0,826,51
1,0,851,11
1,0,876,31
1,0,901,51
1,0,926,11
1,0,951,31
1,0,976,51
1,0,1001,11
1,0,1026,31
1,0,1051,51
1,0,1076,11
1,0,1101,31
1,0,1126,51
1,0,1151,11
1,0,1176,31
1,0,1201,51
1,0,1226,11
1,0,1251,31
1,0,1276,51
1,0,1301,11
2,0,26,11
2,0,51,31
2,0,76,51
2,0,101,11
2,0,126,31
2,0,151,51
2,0,176,11
2,0,201,31
2,0,226,51
2,0,251,11
2,0,276,31
2,0,301,51
2,0,326,11
2,0,351,31
2,0,376,51
2,0,401,11
2,0,426,31
2,0,451,51
2,0,476,11
2,0,501,31
2,0,526,51
2,0,551,11
2,0,576,31
2,0,601,51
2,0,626,11
2,0,651,31
2,0,676,51
2,0,701,11
2,0,726,31
2,0,751,51
2,0,776,11
2,0,801,31
2,0,826,51
2,0,851,11
2,0,876,31
2,0,901,51
2,0,926,11
2,0,951,31
2,0,976,51
2,0,1001,11
2,0,1026,31
2,0,1051,51
2,0,1076,11
2,0,1101,31
2,0,1126,51
2,0,1151,11
2,0,1176,31
2,0,1201,51
2,0,1226,11
2,0,1251,31
2,0,1276,51
2,0,1301,11
3,0,26,11
3,0,51,31
3,0,76,51
3,0,101,11
3,0,126,31
3,0,151,51
3,0,176,11
3,0,201,31
3,0,226,51
3,0,251,11
3,0,276,31
3,0,301,51
3,0,326,11
3,0,351,31
3,0,376,51
3,0,401,11
3,0,426,31
3,0,451,51
3,0,476,11
3,0,501,31
3,0,526,51
3,0,551,11
3,0,576,31
3,0,601,51
3,0,626,11
3,0,651,31
3,0,676,51
3,0,701,11
3,0,726,31
3,0,751,51
3,0,776,11
3,0,801,31
3,0,826,51
3,0,851,11
3,0,876,31
3,0,901,51
3,0,926,11
3,0,951,31
3,0,976,51
3,0,1001,11
3,0,1026,31
3,0,1051,51
3,0,1076,11
3,0,1101,31
3,0,1126,51
3,0,1151,11
3,0,1176,31
3,0,1201,51
3,0,1226,11
3,0,1251,31
3,0,1276,51
3,0,1301,11
4,0,26,11
4,0,51,31
4,0,76,51
4,0,101,11
4,0,126,31
4,0,151,51
4,0,176,11
4,0,201,31
4,0,226,51
4,0,251,11
4,0,276,31
4,0,301,51
4,0,326,11
4,0,351,31
4,0,376,51
4,0,401,11
4,0,426,31
4,0,451,51
4,0,476,11
4,0,501,31
4,0,526,51
4,0,551,11
4,0,576,31
4,0,601,51
4,0,626,11
4,0,651,31
4,0,676,51
4,0,701,11
4,0,726,31
4,0,751,51
4,0,776,11
4,0,801,31
4,0,826,51
4,0,851,11
4,0,876,31
4,0,901,51
4,0,926,11
4,0,951,31
4,0,976,51
4,0,1001,11
4,0,1026,31
4,0,1051,51
4,0,1076,11
4,0,1101,31
4,0,1126,51
4,0,1151,11
4,0,1176,31
4,0,1201,51
4,0,1226,11
4,0,1251,31
4,0,1276,51
4,0,1301,11
5,0,26,11
5,0,51,31
5,0,76,51
5,0,101,11
5,0,126,31
5,0,151,51
5,0,176,11
5,0,201,31
5,0,226,51
5,0,251,11
5,0,276,31
5,0,301,51
5,0,326,11
5,0,351,31
5,0,376,51
5,0,401,11
5,0,426,31
5,0,451,51
5,0,476,11
5,0,501,31
5,0,526,51
5,0,551,11
5,0,576,31
5,0,601,51
